SMILES,QEPPI Score,QED score,RO4 score,MW,MolLogP,SA score
Cc1ncccc1C(=O)Nc1ccc(C(=O)Nc2cc(N3CCCC(N(C)C)C3)ccc2F)cc1F,0.986184418,0.520509097,0.75,493.558,4.70322,2.852520805
Cc1ncccc1C(=O)Nc1cccc(C(=O)Nc2cc(N3CCCC(N(C)C)C3)c(F)cc2F)c1,0.986184418,0.520509097,0.75,493.558,4.70322,2.874469015
Cc1cc(C(=O)Nc2ccc(N3CCCC(N(C)C)C3)cc2F)cc(C(=O)Nc2cccc(F)c2)n1,0.986184418,0.520509097,0.75,493.558,4.70322,2.888428954
Cc1cc(C(=O)Nc2ccc(C(=O)Nc3cc(N4CCCC(N(C)C)C4)ccc3F)cc2F)ccn1,0.986184418,0.520509097,0.75,493.558,4.70322,2.868195748
Cc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(N4CCN(C(C)C)CC4)cc3F)ccn2)cc1F,0.986184418,0.520509097,0.75,493.558,4.70322,2.361439821
Cc1cc(C(=O)Nc2ccc(N3CCCC(N(C)C)C3)cc2F)cc(C(=O)Nc2ccc(F)cc2)n1,0.986184418,0.520509097,0.75,493.558,4.70322,2.852147918
Cc1cc(C(=O)Nc2ccc(N3CC(N(C)C)CC3C)c(F)c2)cc(C(=O)Nc2cccc(F)c2)n1,0.986184061,0.520581317,0.75,493.558,4.70162,3.330972693
O=C(Nc1ccc(N2CCC(N3CCC3)C2)cc1F)c1ccc(NC(=O)c2ccncc2)c(Cl)c1,0.986173213,0.521845838,1,493.97,4.6631,2.767622518
CC1CCN1C1CN(c2ccc(NC(=O)c3ccc(Cl)c(NC(=O)c4ccccn4)c3)c(F)c2)C1,0.986172676,0.521915505,1,493.97,4.6615,2.929464686
CC1CCN1C1CN(c2ccc(NC(=O)c3ccc(Cl)c(NC(=O)c4ccncc4)c3)c(F)c2)C1,0.986172676,0.521915505,1,493.97,4.6615,2.923769581
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2cc(NC(=O)c3cccnc3)ccc2Cl)cc1F,0.986172676,0.521915505,1,493.97,4.6615,3.219116919
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(Cl)c(C(=O)Nc3cccnc3)c2)c(F)c1,0.986172676,0.521915505,1,493.97,4.6615,3.254056779
CC1CCN1C1CN(c2ccc(NC(=O)c3ccc(NC(=O)c4cccnc4Cl)cc3)c(F)c2)C1,0.986172676,0.488231266,1,493.97,4.6615,2.906912239
CC1CCN1C1CN(c2ccc(NC(=O)c3cc(Cl)ccc3NC(=O)c3ccncc3)c(F)c2)C1,0.986172676,0.521915505,1,493.97,4.6615,2.953468882
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(NC(=O)c3ccccn3)c(Cl)c2)c(F)c1,0.986172676,0.521915505,1,493.97,4.6615,3.249967269
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2cc(NC(=O)c3ccncc3)ccc2Cl)cc1F,0.986172676,0.521915505,1,493.97,4.6615,3.22636587
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(NC(=O)c3ccncc3)c(Cl)c2)c(F)c1,0.986172676,0.521915505,1,493.97,4.6615,3.244272164
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2ccc(F)c(NC(=O)c3cccnc3)c2)c(Cl)c1,0.986172676,0.521915505,1,493.97,4.6615,3.231742094
CC1CCN1C1CN(c2ccc(NC(=O)c3ccc(Cl)c(C(=O)Nc4cccnc4)c3)c(F)c2)C1,0.986172676,0.521915505,1,493.97,4.6615,2.948559791
CC1CCN1C1CN(c2ccc(NC(=O)c3cc(NC(=O)c4ccccn4)ccc3Cl)c(F)c2)C1,0.986172676,0.521915505,1,493.97,4.6615,2.937607343
CC1C(N2CCC2)CN1c1ccc(NC(=O)c2cc(NC(=O)c3cccnc3)ccc2Cl)c(F)c1,0.986172676,0.521915505,1,493.97,4.6615,3.230160276
Cc1ccc(NC(=O)c2cc(C(=O)Nc3cc(N4CCC(N(C)C)C4)ccc3Cl)ccn2)cc1F,0.986164987,0.512032787,0.75,495.986,4.82742,2.841502063
Cc1cc(C(=O)Nc2ccc(C(=O)Nc3ccc(N4CCC(N(C)C)C4)cc3F)cc2Cl)ccn1,0.986164987,0.512032787,0.75,495.986,4.82742,2.838030634
Cc1ccc(NC(=O)c2cc(C(=O)Nc3cc(Cl)ccc3N3CCC(N(C)C)C3)ccn2)cc1F,0.986164987,0.512032787,0.75,495.986,4.82742,2.834303476
Cc1cc(C(=O)Nc2ccc(N3CCC(N(C)C)C3)cc2F)cc(C(=O)Nc2cccc(Cl)c2)n1,0.986164987,0.512032787,0.75,495.986,4.82742,2.865968782
Cc1cccc(NC(=O)c2cc(C(=O)Nc3ccc(N4CCC(N(C)C)C4)c(F)c3F)cc(C)n2)c1,0.986156106,0.52406876,0.75,493.558,4.62154,2.999610334
CC1CC(N(C)C)CN1c1ccc(NC(=O)c2ccc(Cl)cc2NC(=O)c2cccnc2)cc1F,0.986144543,0.507941591,0.75,495.986,4.9075,3.223701734
CC1CC(N(C)C)CN1c1ccc(NC(=O)c2ccc(Cl)c(C(=O)Nc3cccnc3)c2)cc1F,0.986144543,0.507941591,0.75,495.986,4.9075,3.224309269
CN(C)C1CCCN(c2cc(F)cc(NC(=O)c3cc(C(=O)Nc4ccccc4Cl)ccn3)c2)C1,0.986143887,0.507857516,0.75,495.986,4.9091,2.848059092
CN(C)C1CCCN(c2cc(C(=O)Nc3cccc(Cl)c3)cc(C(=O)Nc3cccc(F)c3)n2)C1,0.986143887,0.507857516,0.75,495.986,4.9091,2.813798952
CN(C)C1CCCN(c2ccc(Cl)c(NC(=O)c3ccc(F)c(NC(=O)c4ccccn4)c3)c2)C1,0.986143887,0.507857516,0.75,495.986,4.9091,2.770287064
CN(C)C1CCCN(c2ccc(Cl)c(NC(=O)c3ccc(F)c(NC(=O)c4ccncc4)c3)c2)C1,0.986143887,0.507857516,0.75,495.986,4.9091,2.764591959
Cc1ccc(NC(=O)c2cccnc2)cc1C(=O)Nc1ccc(N2CC(N3CCC3)C2C)c(Cl)c1,0.986141741,0.518227195,1,490.007,4.83082,3.212588248
Cc1ccc(CN2CCN(C)CC2)cc1NC(=O)c1cc(NC(=O)c2cccnc2C)ccc1Cl,0.986140192,0.526473525,0.75,492.023,4.60384,2.239701475
Cc1ccc(C(=O)Nc2cc(F)cc(N3CCCC(N(C)C)C3)c2)cc1NC(=O)c1cccnc1C,0.986134768,0.51653396,0.75,489.595,4.87254,2.863255001
O=C(c1ccc(Cl)cc1NCc1cc(-c2ccnc(F)c2)n[nH]1)N1CCC(N2CCCCC2)CC1,0.986118436,0.471211872,1,497.018,4.9668,2.709257049
CN(C)C1CCN(c2cc(C(=O)Nc3ccc(C(F)(F)F)cc3)ccc2NC(=O)c2ccccn2)C1,0.986106932,0.514354857,0.75,497.521,4.7453,2.817661399
Cc1ccc(Cl)cc1N1CCN(CC(=O)Nc2cc(Cl)ccc2NC(=O)c2ccncc2)CC1,0.986103773,0.515030848,0.75,498.414,4.70982,2.200533035
CN1CCN(Cc2ccc(NC(=O)c3cc(C(=O)Nc4cccnc4)ccc3Cl)c(Cl)c2)CC1,0.986082315,0.51806017,0.75,498.414,4.6404,2.19229957
CC1C(N2CCCC2C)CN1c1ccc(C(=O)Nc2cc(C(=O)Nc3cccnc3)ccc2F)cc1,0.986073971,0.523039929,1,487.579,4.7867,3.455046597
Cc1ccc(C(=O)Nc2ccc(N3CC(N4CCC4)C3C)cc2F)cc1NC(=O)c1cccnc1C,0.986038327,0.530452363,1,487.579,4.62494,3.278086006
Cc1ccc(NC(=O)c2cc(C(=O)Nc3ccc(N4CC(N5CCC5)C4C)cc3F)ccn2)cc1F,0.986031532,0.532713919,1,491.542,4.45562,3.330779532
Cc1cc(C(=O)Nc2ccc(C(=O)Nc3ccc(N4CC(N5CCC5)C4C)cc3F)cc2F)ccn1,0.986031532,0.532713919,1,491.542,4.45562,3.328496973
Cc1ccc(NC(=O)c2ccnc(C(=O)Nc3ccc(N4CC(N5CCC5C)C4)cc3F)c2)cc1F,0.986031532,0.532713919,1,491.542,4.45562,3.026503897
Cc1cc(C(=O)Nc2ccc(N3CC(N4CCC4C)C3)cc2F)cc(C(=O)Nc2cccc(F)c2)n1,0.986031532,0.532713919,1,491.542,4.45562,3.055116083
Cc1ncccc1C(=O)Nc1ccc(C(=O)Nc2ccc(N3CC(N4CCC4)C3C)c(F)c2)cc1F,0.986031532,0.532713919,1,491.542,4.45562,3.301997354
